customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
CUST_00001,290,5,22374.13,1,1,1,3,Lost
CUST_00002,16,11,328320.36,5,3,4,12,Loyal Customers
CUST_00003,2,9,368374.38,5,2,5,12,Loyal Customers
CUST_00004,27,10,150879.26,4,3,2,9,Potential Loyalists
CUST_00005,43,10,229107.80000000002,3,3,3,9,Potential Loyalists
CUST_00006,107,10,116080.15,2,3,2,7,Potential Loyalists
CUST_00007,10,11,111266.76000000001,5,3,2,10,Loyal Customers
CUST_00008,13,7,124654.89,5,1,2,8,Promising
CUST_00009,49,7,161222.33000000002,3,1,3,7,Potential Loyalists
CUST_00010,126,7,183419.49,1,1,3,5,Lost
CUST_00011,23,10,232540.75999999998,4,3,4,11,Loyal Customers
CUST_00012,144,12,251140.12,1,4,4,9,At Risk
CUST_00013,155,11,386853.99000000005,1,3,5,9,Potential Loyalists
CUST_00014,34,6,309981.44,4,1,4,9,Promising
CUST_00015,12,9,149743.62000000002,5,2,2,9,Promising
CUST_00016,130,13,87335.0,1,4,1,6,At Risk
CUST_00017,19,18,447367.76,4,5,5,14,Champions
CUST_00018,100,10,129369.92,2,3,2,7,Potential Loyalists
CUST_00019,162,12,383290.64,1,4,5,10,Loyal Customers
CUST_00020,9,7,254197.62,5,1,4,10,Loyal Customers
CUST_00021,193,8,542059.36,1,2,5,8,Lost
CUST_00022,48,15,372729.23,3,5,5,13,Champions
CUST_00023,53,16,530539.22,3,5,5,13,Champions
CUST_00024,47,3,17706.18,3,1,1,5,Potential Loyalists
CUST_00025,111,8,187241.21,2,2,3,7,Lost
CUST_00026,259,9,115653.94,1,2,2,5,Lost
CUST_00027,108,8,144323.73,2,2,2,6,Lost
CUST_00028,185,9,263989.73,1,2,4,7,Lost
CUST_00029,73,3,62267.869999999995,2,1,1,4,Lost
CUST_00030,118,10,267467.42000000004,2,3,4,9,Potential Loyalists
CUST_00031,77,7,233138.06999999998,2,1,4,7,Lost
CUST_00032,27,14,329406.64,4,5,4,13,Champions
CUST_00033,60,13,370966.58,3,4,5,12,Loyal Customers
CUST_00034,87,7,99496.83,2,1,2,5,Lost
CUST_00035,165,7,94231.33,1,1,1,3,Lost
CUST_00036,28,12,250005.5,4,4,4,12,Loyal Customers
CUST_00037,73,13,631643.87,2,4,5,11,Loyal Customers
CUST_00038,130,12,261382.66999999998,1,4,4,9,At Risk
CUST_00039,26,9,240123.38,4,2,4,10,Loyal Customers
CUST_00040,106,9,34102.28,2,2,1,5,Lost
CUST_00041,129,10,205392.62,1,3,3,7,Potential Loyalists
CUST_00042,147,8,472382.77,1,2,5,8,Lost
CUST_00043,51,12,177983.6,3,4,3,10,Loyal Customers
CUST_00044,103,10,193737.15,2,3,3,8,Potential Loyalists
CUST_00045,134,7,50464.939999999995,1,1,1,3,Lost
CUST_00046,14,12,394968.41000000003,5,4,5,14,Champions
